"session","created","modified","ended","expired","time15","yearOfBirth","gender","genderOther","location","employment","income","purchase","cups","feedback","time16","prolific","time17","completionCode","time18"
"breakableFurSealXXX0UVCFB3RMY4A1FUGHQN9rO74-IbbPmWkw_VgtY_nBrySb","2021-11-17 23:27:32","2021-11-18 02:25:34","","","2021-11-17 23:27:32","","","","","","","","","","","","","",""
"Fpz4qoV5yv5fAuoJx9lZNGXjVb9unVp2sH6fl7bT0BvpiYEB4oeKo6QYa0S5rXDN","2021-11-17 23:29:14","","","","2021-11-17 23:29:14","","","","","","","","","","","","","",""
"n7qy0sxlZuBrx4wi_aK9LodpTFMIm50PjbhtuqfHv3lNXiPVzEK334AebaeEpM9s","2021-11-18 00:52:56","","","","2021-11-18 00:52:58","","","","","","","","","","","","","",""
"zp872A4sQJDy9Z3QIfCWcmFL_E_EO0L-EzpIaHNntRBqVA0Vbq1YUhJIPLj8X2Cc","2021-11-18 01:55:15","2021-11-18 01:55:41","2021-11-18 01:55:41","","2021-11-18 01:55:15","1998","male","","22222","employedFullTime","inc_35to50","websites","","","2021-11-18 01:55:37","","2021-11-18 01:55:41","761064",""
"","2021-11-18 02:09:42","","","","2021-11-18 02:09:42","","","","","","","","","","","","","",""
"wn-liq0sPT1X-DNVhNQ4PdpsicZEERUnFhFjL5i8aGO51jSXT9pBU71IcANLiwN_","2021-11-18 02:13:15","2021-11-18 02:13:50","2021-11-18 02:13:50","","2021-11-18 02:13:15","1998","male","","8820","student","under10","groceryStores","cup_0to25","cool","2021-11-18 02:13:47","","2021-11-18 02:13:50","968316",""
"qWTsuj28mgiH6DkU0CWgEJdnzQtpR0bc1iHaftLCvRukBiCJEOHwhphZ8-ld_4Wf","2021-11-23 19:06:24","2021-11-23 19:07:18","2021-11-23 19:07:18","","2021-11-23 19:06:24","1995","female","","20002","student","under10","convenienceStores","cup_26to50","","2021-11-23 19:07:14","","2021-11-23 19:07:18","517896",""
"d7F1xBoAku0nPukwS0xeNbZxOvXIS1yV40h4tBRMuDGgunZl0N9Kb8xIfsS-9IQ7","2021-11-23 21:46:26","2021-11-23 21:46:49","","","2021-11-23 21:46:26","1987","male","","21146","employedFullTime","inc_150to200","groceryStores","cup_26to50","","2021-11-23 21:46:49","","","782939",""
"fantasticBlackBearXXXO79Fxirh04hzpjT5bW3xxfURqXHEUu6q-4YVAFIFJGg","2021-11-27 00:02:50","2021-11-27 00:03:48","2021-11-27 00:03:49","","2021-11-27 00:02:50","1999","male","","22202","student","inc_15to25","convenienceStores","cup_0to25","","2021-11-27 00:03:34","123","2021-11-27 00:03:44","201385","2021-11-27 00:03:48"
"hW4kOsGUDUFxg3euDmrnTwIjUEiAvHsDqFwlwsNm5kmF1EioD9sMhwuAk7MCKTPG","2021-11-27 20:27:47","2021-11-27 20:28:31","","","2021-11-27 20:27:47","1992","female","","20001","student","inc_150to200","groceryStores","cup_0to25","","2021-11-27 20:28:26","123","2021-11-27 20:28:31","724922",""
"q4G7hn3hv6Rman-7ndqU-LyPxRFK1H-zNYwOPYc6U0SgikOeN2uqklWcSY5-YTus","2021-11-28 01:09:58","2021-11-28 01:10:58","2021-11-28 01:10:58","","2021-11-28 01:09:58","1982","female","","2131","disabled","inc_35to50","groceryStores","cup_0to25","","2021-11-28 01:10:50","123","2021-11-28 01:10:55","276655","2021-11-28 01:10:58"
"Uh3hQyyPtZ9RugXpP4AOO4qN1e_HgAjAEHpk0RB4Tx97Jxmg9HUfxMxxqeVN_BBo","2021-11-28 02:24:39","2021-11-28 02:25:22","2021-11-28 02:25:23","","2021-11-28 02:24:39","1989","genderNonconform","","21117","disabled","inc_15to25","groceryStores","cup_0to25","","2021-11-28 02:25:15","123","2021-11-28 02:25:20","267748","2021-11-28 02:25:23"
"XDH0RHBJn2EZe_qw1eyPA0tWXCrkeRrV4OiXzxqWjNmN_Yi-oH6ZghBstIBWbkX5","2021-11-28 07:28:48","2021-11-28 07:29:37","2021-11-28 07:29:37","","2021-11-28 07:28:48","1986","genderNonconform","","85234","employedFullTime","inc_50to75","groceryStores","cup_26to50","","2021-11-28 07:29:28","123","2021-11-28 07:29:35","900638","2021-11-28 07:29:37"
"qzROmIr20A0KOdFW6PEESXapQ2dbV9Y4ki8o6U8wf7kSVqF3Y3wK49RrM3SDLE9y","2021-11-28 17:32:55","2021-11-28 17:33:32","","","2021-11-28 17:32:55","1994","female","","23115","employedFullTime","inc_75to100","groceryStores","cup_0to25","","2021-11-28 17:33:27","123","2021-11-28 17:33:32","116480",""
"Fgut3PJ3Orj8eOk_x649pwbV1POvRaCVNlkL4UM3h5BYqvntQQ2JZmUHQBLujXV5","2021-11-29 20:23:09","2021-11-29 20:23:27","2021-11-29 20:23:27","","2021-11-29 20:23:09","prefer_not_say","female","","21146","employedFullTime","inc_75to100","groceryStores","cup_26to50","","2021-11-29 20:23:21","123","2021-11-29 20:23:25","563509","2021-11-29 20:23:27"
"FLmYs6tRQt3mAKxXlh0NnSnoU1JxXgJKYeGSmPPeNBx40zEaeDm9o_PYnpt8FVYm","2021-11-29 20:30:19","2021-11-29 20:31:07","2021-11-29 20:31:07","","2021-11-29 20:30:19","1985","male","trans male","97030","disabled","under10","groceryStores","cup_0to25","","2021-11-29 20:30:54","5df4d9120562053642d5690f","2021-11-29 20:31:02","346210","2021-11-29 20:31:07"
